iter	RMSE
550	38.63611353
551	38.63576088
552	38.63544116
553	38.63510794
554	38.63481191
555	38.63439327
556	38.63401789
557	38.63372887
558	38.6333838
559	38.63310555
560	38.63271062
561	38.63239804
562	38.63198956
563	38.63166356
564	38.63130499
565	38.63090199
566	38.63053431
567	38.63019024
568	38.62987396
569	38.62949574
570	38.62922608
571	38.62886377
572	38.62858842
573	38.62830607
574	38.62795367
575	38.62765584
576	38.62731551
577	38.62697104
578	38.62665347
579	38.62628449
580	38.62600327
581	38.62563645
582	38.62535266
583	38.62508159
584	38.62477325
585	38.6244552
586	38.62408744
587	38.62365013
588	38.62340355
589	38.62308869
590	38.62271241
591	38.62235252
592	38.62203877
593	38.62169628
594	38.62138085
595	38.62107149
596	38.62074183
597	38.62042651
598	38.62009722
599	38.61969022
600	38.61935966
601	38.61911144
602	38.61876069
603	38.61830513
604	38.61806854
605	38.61758121
606	38.61732388
607	38.61694271
608	38.61652993
609	38.61622772
610	38.61585574
611	38.61551764
612	38.61520123
613	38.61486446
614	38.61462876
615	38.61431288
616	38.61399124
617	38.61360187
618	38.61333266
619	38.61293702
620	38.61251179
621	38.6121395
622	38.61180254
623	38.61153623
624	38.6111018
625	38.61079666
626	38.61056635
627	38.61021058
628	38.60991818
629	38.60961051
630	38.60932134
631	38.60910907
632	38.60875602
633	38.60845834
634	38.60808974
635	38.60783299
636	38.60761582
637	38.60731761
638	38.60701161
639	38.60673874
640	38.60640399
641	38.60614657
642	38.60587802
643	38.60560871
644	38.60528975
645	38.60501878
646	38.60472214
647	38.60449389
648	38.60416094
649	38.60386841
650	38.60356291
651	38.60329948
652	38.60293086
653	38.60255896
654	38.60230593
655	38.60197719
656	38.60160519
657	38.60132146
658	38.60107917
659	38.60073163
660	38.60045315
661	38.60019243
662	38.59997282
663	38.59970612
664	38.59942567
665	38.59905309
666	38.59879359
667	38.59857458
668	38.5982122
669	38.59782878
670	38.59746821
671	38.5971051
672	38.59687645
673	38.59654224
674	38.59627793
675	38.59587286
676	38.59548203
677	38.59506172
678	38.59474555
679	38.59440488
680	38.59410535
681	38.59386733
682	38.59342043
683	38.59310137
684	38.59275174
685	38.59247651
686	38.59219482
687	38.59196487
688	38.59173195
689	38.59143181
690	38.5911726
691	38.59093073
692	38.59061555
693	38.59028058
694	38.58994729
695	38.58961458
696	38.58925997
697	38.58889465
698	38.58838715
699	38.5880732
700	38.58780631
701	38.58745504
702	38.58719841
703	38.58689863
704	38.5865879
705	38.58627908
706	38.58593468
707	38.58558785
708	38.58525188
709	38.58503138
710	38.5847203
711	38.58440735
712	38.58413755
713	38.58374584
714	38.58348739
715	38.58318929
716	38.58288942
717	38.58256932
718	38.58219926
719	38.58187988
720	38.58152176
721	38.5810985
722	38.58080935
723	38.58049562
724	38.58021651
725	38.57983483
726	38.57949973
727	38.57923264
728	38.5789037
729	38.5786566
730	38.57838708
731	38.57807481
732	38.57775455
733	38.57736743
734	38.57708949
735	38.57688863
736	38.57661934
737	38.5762793
738	38.57594895
739	38.57567756
740	38.57542142
741	38.57506515
742	38.57477037
743	38.5744699
744	38.57424439
745	38.57396776
746	38.57371173
747	38.57336826
748	38.57312805
749	38.57278085
750	38.5725152
751	38.57220032
752	38.57179097
753	38.57149624
754	38.57123815
755	38.5708442
756	38.57051142
757	38.57017347
758	38.56991015
759	38.56966058
760	38.56925548
761	38.56901155
762	38.56869578
763	38.56840405
764	38.56807908
765	38.56782959
766	38.56754709
767	38.56722481
768	38.56698363
769	38.56668702
770	38.5663423
771	38.56603318
772	38.56574857
773	38.56545709
774	38.56506147
775	38.56479296
776	38.56451186
777	38.56420939
778	38.56390402
779	38.56361957
780	38.56328029
781	38.56295698
782	38.56260525
783	38.56218108
784	38.56178324
785	38.5614567
786	38.56114599
787	38.56083211
788	38.56054864
789	38.56008809
790	38.55984879
791	38.55958415
792	38.55928104
793	38.55893632
794	38.55867383
795	38.55832106
796	38.55793344
797	38.55763256
798	38.55735736
799	38.55714748
800	38.55697532
801	38.55661162
802	38.55638135
803	38.55610824
804	38.5558622
805	38.55551738
806	38.55524395
807	38.55505588
808	38.55465645
809	38.55437283
810	38.55405881
811	38.55376044
812	38.55330061
813	38.55301186
814	38.55270809
815	38.55234907
816	38.55202462
817	38.55183826
818	38.55155246
819	38.55124235
820	38.55090128
821	38.55066262
822	38.55030931
823	38.5500799
824	38.54970454
825	38.54941585
826	38.5491437
827	38.54888318
828	38.54860725
829	38.5483104
830	38.54811009
831	38.54779319
832	38.54761723
833	38.54737631
834	38.54692976
835	38.54665963
836	38.5464995
837	38.54625545
838	38.54597145
839	38.54567892
840	38.5453294
841	38.54515792
842	38.54482287
843	38.54454697
844	38.54428431
845	38.54400415
846	38.54369955
847	38.54345136
848	38.54323369
849	38.54288503
850	38.54263668
851	38.54224043
852	38.54199755
853	38.54177378
854	38.54150864
855	38.54115282
856	38.54086958
857	38.54059431
858	38.54033468
859	38.54011079
860	38.53978666
861	38.53953758
862	38.53917038
863	38.53887031
864	38.53854886
865	38.53824408
866	38.53788666
867	38.53761374
868	38.53726256
869	38.53694322
870	38.5366702
871	38.53641175
872	38.5361131
873	38.5357257
874	38.53541176
875	38.53514889
876	38.53484931
877	38.53450501
878	38.53421334
879	38.53379398
880	38.53347663
881	38.53324035
882	38.53290871
883	38.5326153
884	38.53229594
885	38.53203104
886	38.5316313
887	38.53131374
888	38.53101358
889	38.53073995
890	38.53048579
891	38.53017366
892	38.52987796
893	38.52951915
894	38.52918005
895	38.52885795
896	38.52842425
897	38.52809336
898	38.52785197
899	38.52758527
900	38.5272461
901	38.52695031
902	38.52664238
903	38.52632103
904	38.52610672
905	38.52590079
906	38.52560986
907	38.52536082
908	38.52505469
909	38.52483625
910	38.52452373
911	38.524301
912	38.52398332
913	38.52368802
914	38.52330363
915	38.5229311
916	38.52266688
917	38.52232094
918	38.52205371
919	38.52174025
920	38.52145645
921	38.5211467
922	38.52090237
923	38.52063288
924	38.52028062
925	38.51995055
926	38.5196398
927	38.51924127
928	38.51888864
929	38.51858714
930	38.51827909
931	38.51801647
932	38.51773694
933	38.51745846
934	38.5171592
935	38.51683765
936	38.51658223
937	38.51634948
938	38.51606801
939	38.51580053
940	38.51543793
941	38.51512574
942	38.51486581
943	38.51454958
944	38.51425539
945	38.51390597
946	38.51370842
947	38.51336265
948	38.51315032
949	38.51287519
950	38.51256641
951	38.51221936
952	38.51197476
953	38.51182192
954	38.51149218
955	38.51119856
956	38.51085291
957	38.5105716
958	38.51038032
959	38.5099154
960	38.50961776
961	38.50937431
962	38.50910258
963	38.50879989
964	38.50849412
965	38.50827712
966	38.50789135
967	38.50760458
968	38.50740372
969	38.50713476
970	38.50687127
971	38.50660827
972	38.50617139
973	38.50589063
974	38.50552461
975	38.50521306
976	38.50488779
977	38.50458626
978	38.50423946
979	38.50404863
980	38.50374659
981	38.50350071
982	38.50334287
983	38.50303904
984	38.50273614
985	38.50249024
986	38.50220884
987	38.5019904
988	38.50175449
989	38.50145414
990	38.50114741
991	38.50092748
992	38.50059496
993	38.50028456
994	38.50006569
995	38.4997442
996	38.49937858
997	38.49911186
998	38.49883278
999	38.49857303
